Unnamed: 0,Name,z,rho,ang_sep,RA,DEC,cosmo,CreationDate,user,HM_0_500,HM_0_100,HM_100_200,HM_200_300,HM_300_400,HM_400_500,mstars,rvir,rho_rvir,gal_type,z_igmsys,log_rho
0,J0226+0015_271_194,0.3527153,994.7304935162864,194.339022765497,36.50630187988281,0.259039998054504,Planck15,2021-Mar-15,mwilde,hit,hit,miss,miss,miss,miss,694055825.3337177,112.71323011053612,8.825321481778545,SF,0.352303,2.9977054314662768
1,J0226+0015_272_181,0.2978321,826.9812973209854,180.9218114037618,36.51005935668945,0.260170012712478,Planck15,2021-Mar-15,mwilde,indeterminate,miss,miss,indeterminate,miss,miss,973201249.3223436,122.43519759716716,6.754440781888096,SF+E,0.295961,2.91749568783291
2,J0226+0015_251_119,0.3846622999999999,641.713772596719,118.6842313827204,36.52907943725586,0.247620001435279,Planck15,2021-Mar-15,mwilde,miss,miss,miss,miss,miss,miss,26371667073.75891,219.24630185548645,2.9269081473487413,SF+E,0.384662,2.807341360311246
3,J0226+0015_291_119,0.2995563,545.0971870486272,118.77806582826952,36.529518127441406,0.270200014114379,Planck15,2021-Mar-15,mwilde,miss,miss,miss,miss,miss,miss,358031674.56235135,104.65406474870382,5.208561815551261,SF,0.295961,2.7364739408748604
4,J0226+0015_210_140,0.3366499,694.317454379747,139.83324502425705,36.54056930541992,0.224800005555152,Planck15,2021-Mar-15,mwilde,miss,miss,miss,miss,miss,miss,4723182028.128126,155.63265235693493,4.461258490817686,E,0.33665,2.8415580830810208
5,J0226+0015_298_72,0.3345059999999999,354.47261031566984,71.69103232581004,36.54273986816406,0.267699986696243,Planck15,2021-Mar-15,mwilde,miss,miss,miss,miss,miss,miss,1182207508.4045007,123.84724001534109,2.862174594173434,SF,0.333685,2.5495826833884294
6,J0226+0015_202_136,0.47494,832.3816672165865,136.09606215465584,36.54608917236328,0.223230004310607,Planck15,2021-Mar-15,mwilde,miss,miss,miss,miss,miss,miss,2477472729.5792365,130.26173584619804,6.390070260874366,SF,0.47494,2.9203225065295566
7,J0226+0015_203_118,0.3651937,616.8968340633136,117.870300709846,36.547489166259766,0.228129997849464,Planck15,2021-Mar-15,mwilde,miss,miss,miss,miss,miss,miss,1508444328.933311,126.76487816677032,4.866466218011136,SF,0.366298,2.790212541434835
8,J0226+0015_201_99,0.3532368999999999,505.3543652259207,98.63629219403118,36.55062103271485,0.232629999518394,Planck15,2021-Mar-15,mwilde,hit,hit,miss,miss,miss,miss,1371526905.645337,125.60260977766646,4.02343906723045,SF,0.352303,2.7035960214671797
9,J0226+0015_203_89,0.4739671,545.7567440065027,89.33286729324917,36.5507698059082,0.235349997878074,Planck15,2021-Mar-15,mwilde,miss,miss,miss,miss,miss,miss,2694811013.6587768,132.18713411632694,4.128668758356335,SF,0.473967,2.736999111063199
