Name,z,rho,ang_sep,RA,DEC,cosmo,CreationDate,user,HM_0_500,HM_0_100,HM_100_200,HM_200_300,HM_300_400,HM_400_500,mstars,rvir,rho_rvir,gal_type,z_igmsys
J0751+2919_231_1121,0.329038769006729,7289.685082012509,1121.4921551495268,117.52358333333332,29.13153638888889,Planck15,2021-Mar-09,jnburchett,miss,miss,miss,miss,miss,miss,10.228745433550161,,,,0.329039
J1151+5437_130_904,0.41839987039566,7293.017618043287,903.7509221001492,178.16804583333334,54.465355,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,10.255359837286154,,,,0.419375
J0235-0402_220_1722,0.207771733403205,7295.199181919272,1721.9490221600556,38.4755110897775,-4.40383986719126,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,10.71305784409653,,,,0.206975
J0235-0402_273_843,0.453100234270095,7297.689116951523,842.9516234642986,38.5463124201725,-4.02357658792617,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,10.386294225843557,,,,0.4531
J0751+2919_186_1177,0.312679350376129,7302.907897239516,1177.193279771477,117.764042233795,29.0019197599119,Planck15,2021-Mar-09,jnburchett,miss,miss,miss,miss,miss,miss,10.445973713391588,,,,0.31265
J1409+2618_295_3341,0.104491032660007,7304.795574850485,3340.596516173812,211.411395099468,26.7009552333639,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,10.26261882340515,,,,0.10241
J1208+4540_279_1187,0.310059249401092,7304.8539321278295,1186.634660212696,181.77507916666667,45.72589861111111,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9.927815708198432,,,,0.307809
J0751+2919_16_1720,0.208344995975494,7308.02419913188,1720.4829482237046,117.95204166666666,29.786863333333336,Planck15,2021-Mar-09,jnburchett,miss,miss,miss,miss,miss,miss,9.943840428704442,,,,0.208345
J1208+4540_261_1322,0.27616599202156,7311.13766409055,1321.5683326544192,181.723804704046,45.6159320456821,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,10.402569273202685,,,,0.27543
J1632+3737_52_3499,0.099821969866752,7317.985341011504,3499.151116307325,248.977212357842,38.2274144752675,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,9.123080654952574,,,,0.100228
J1632+3737_98_1519,0.238320767879486,7323.289540586367,1518.9204197570689,248.532068380227,37.5723353687743,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,9.720015887186555,,,,0.238321
J0751+2919_206_1762,0.20371688902378,7327.610713286921,1762.193306156479,117.55190851074,28.8889594600325,Planck15,2021-Mar-09,jnburchett,hit,hit,miss,miss,miss,miss,4.459053591244221,,,,0.203858
